SA_PUB2022,need_percentile,no_car_rate,employment_quadrant,ED_ENGLISH,COUNTY_ENGLISH,walk_node_id,nearest_hospital_min,nearest_school_min,nearest_university_min,hospital_access_percentile,hospital_severity,hospital_quadrant,school_access_percentile,school_severity,school_quadrant,university_access_percentile,university_severity,university_quadrant,is_employment_desert,is_hospital_desert,is_school_desert,is_university_desert,n_desert_categories
268085012/268085001/02,0.9007308160779536,0.4311926605504587,"Well-served, high-need",KILMAINHAM C,DUBLIN CITY,360406240,20.483120459770117,8.608773333333335,15.15138712643678,0.4719853836784409,0.4287454323995127,Transit Desert,0.48274462038164845,0.41798619569630513,Transit Desert,0.5937880633373934,0.30694275274056015,"Well-served, high-need",False,True,True,False,2
267141007,0.809074299634592,0.3278688524590163,"Well-served, high-need",TALLAGHT-KILLINARDAN,SOUTH DUBLIN,9622568820,24.798620952380958,8.084573333333335,18.177060952380952,0.3041006902151847,0.5049736094194073,Transit Desert,0.5310596833130329,0.2780146163215591,"Well-served, high-need",0.48599269183922045,0.32308160779537154,Transit Desert,False,True,False,True,2
268016009,0.7992285830288266,0.3203883495145631,"Well-served, high-need",BALLYMUN B,DUBLIN CITY,2407384718,23.606524999999998,5.845066666666667,15.614280000000008,0.3463256191636216,0.452902963865205,Transit Desert,0.7340641494112871,0.06516443361753954,"Well-served, high-need",0.5763296792529435,0.22289890377588306,"Well-served, high-need",False,True,False,False,1
268072003,0.4442752740560292,0.1308411214953271,Low-priority gap,GRANGE B,DUBLIN CITY,4839291803,25.575026666666663,6.547533333333333,16.19622666666667,0.27243199350385705,0.17184328055217213,Low-priority gap,0.6711327649208283,-0.22685749086479912,"Well-served, low-need",0.5535931790499391,-0.10931790499390992,"Well-served, low-need",False,False,False,False,0
268134011,0.8073487616727568,0.3265306122448979,"Well-served, high-need",RATHMINES WEST C,DUBLIN CITY,12194172709,13.3355552238806,6.091186666666666,8.900640000000001,0.7801461632155907,0.027202598457166105,"Well-served, high-need",0.7115306536743808,0.09581810799837598,"Well-served, high-need",0.8363784003248071,-0.029029638652050327,"Well-served, high-need",False,False,False,False,0
267142007,0.3152659358505887,0.0859375,"Well-served, low-need",TALLAGHT-KILNAMANAGH,SOUTH DUBLIN,11589659280,21.48111259259259,7.92768,23.33937925925926,0.4311814859926918,-0.11591555014210309,Low-priority gap,0.5464880227365002,-0.2312220868859115,"Well-served, low-need",0.32196508323183115,-0.006699147381242443,Low-priority gap,False,False,False,False,0
267150009,0.198132358911896,0.0547945205479452,Low-priority gap,TEMPLEOGUE-KIMMAGE MANOR,SOUTH DUBLIN,8607478312,26.779288682170534,12.424360000000004,22.475481904761903,0.23690621193666261,-0.0387738530247666,Low-priority gap,0.21883881445391795,-0.02070645554202194,Low-priority gap,0.3440925700365408,-0.1459602111246448,Low-priority gap,False,False,False,False,0
268150009,0.9159561510353228,0.4554455445544554,"Well-served, high-need",USHERS C,DUBLIN CITY,6339726193,8.657028571428572,4.077640000000001,10.776865225225228,0.9299634591961023,-0.014007308160779552,"Well-served, high-need",0.8755582622817701,0.04039788875355266,"Well-served, high-need",0.7685749086479903,0.14738124238733252,"Well-served, high-need",False,False,False,False,0
268073009,0.5158343483556638,0.1631205673758865,"Well-served, high-need",GRANGE C,DUBLIN CITY,4893017203,18.583835555555552,9.52184,10.11024,0.5623223710921641,-0.04648802273650032,"Well-served, high-need",0.40600893219650835,0.10982541615915542,Transit Desert,0.7921234267153877,-0.27628907835972394,"Well-served, high-need",False,False,True,False,1
267149008,0.1483962647178238,0.0422535211267605,Low-priority gap,TEMPLEOGUE-CYPRESS,SOUTH DUBLIN,8612020914,29.25861641025642,7.880013333333335,23.499514166666675,0.18514007308160785,-0.03674380836378405,Low-priority gap,0.5535931790499391,-0.4051969143321153,"Well-served, low-need",0.31729598051157126,-0.16889971579374746,Low-priority gap,False,False,False,False,0
