SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination
268148003,3124514444,,,,,,,,
267150018,4852675610,42.80835555555556,43.75590692810457,51.47456846560846,67.02320285403052,67.83926047704232,36.43675534883722,36.43675534883722,Tallaght_min
268115014,1115719694,21.247305641025637,20.10265663201663,44.744306666666674,43.36995255794258,46.749400455840465,56.92662721088435,20.10265663201663,IFSC___Docklands_min
267138006,6670240809,49.448453333333326,47.89906666666666,63.456487397660815,67.87602170502986,55.685171794871785,23.345430175438604,23.345430175438604,Tallaght_min
267051003/03,436633024,31.524192380952385,29.97480571428572,66.56970751322751,53.24210164021165,32.385910842490844,33.45957904761905,29.97480571428572,IFSC___Docklands_min
268129007,12177917466,29.961934751773047,36.57349953164725,29.1299180952381,59.840795457573186,58.53925588652482,50.84773333333332,29.1299180952381,Sandyford_Business_District_min
268051008,364875174,28.648772870493985,28.46878620382732,63.84750518272425,51.73608212975325,47.35058620382732,39.036337777777774,28.46878620382732,IFSC___Docklands_min
267158005,247483898,35.308010833333334,39.41274416666666,72.45566416666666,53.130917499999995,24.705704166666674,67.70990909090911,24.705704166666674,Blanchardstown_min
267140041,9498877066,54.43231607843136,52.88292941176471,68.98134845029243,76.15022533769069,61.38570120663649,28.87029122807018,28.87029122807018,Tallaght_min
268079005,11179593640,26.10649416666668,24.55710750000001,61.1520092989418,47.82440342592592,45.988907499999996,36.184405490196085,24.55710750000001,IFSC___Docklands_min
267101017,2572909601,31.47879555555555,29.929408888888887,66.5243106878307,53.196704814814844,32.34051401709401,50.80584888888891,29.929408888888887,IFSC___Docklands_min
268157006,6378950158,23.181611034482746,29.687301276595736,57.69747345872518,32.72390559032123,41.9236317948718,56.73048127659574,23.181611034482746,Dublin_City_Centre_(CBD)_min
267095010,49572923,53.85688634920634,53.3590711111111,85.02392323232327,71.48956148148149,76.63428592592595,95.26172666666669,53.3590711111111,IFSC___Docklands_min
267080010,38980512,39.1323114893617,45.74387626923591,26.46882529914531,64.35490526610644,66.28935506609331,38.91974095238094,26.46882529914531,Sandyford_Business_District_min
267118001,9728003234,59.23989880084826,56.008664615384596,90.40693568396519,60.428077948717934,82.01729837756787,94.78517794871797,56.008664615384596,IFSC___Docklands_min
267100053,3001074682,34.20493041666666,32.65554375,69.25044554894178,55.92283967592592,35.06664887820512,44.666617777777766,32.65554375,IFSC___Docklands_min
268099015,10693005357,14.118562528735628,13.938575862068962,47.524927751938016,37.20587178799489,37.48704252873563,47.10741333333333,13.938575862068962,IFSC___Docklands_min
267099011/02,12599775451,37.07852666666667,28.178126666666664,68.80438000000001,42.98817818181819,65.80716780141844,74.5440533333333,28.178126666666664,IFSC___Docklands_min
267106005,5250067807,44.6539142857143,45.78457003861005,75.82095116883121,56.31294666666668,67.4313138624339,86.05875460317462,44.6539142857143,Dublin_City_Centre_(CBD)_min
267065013,9791099514,37.588548571428575,38.71920432432433,68.75558545454545,52.91823333333332,60.36594814814815,78.99338888888889,37.588548571428575,Dublin_City_Centre_(CBD)_min
268078003,4658435479,24.540756078431368,22.9913694117647,59.58627121070651,46.25866533769064,44.423169411764704,37.32193333333334,22.9913694117647,IFSC___Docklands_min
268129014,8384777227,31.70085666666666,30.04693446009389,37.58397904761905,53.31423038601984,55.545401126760574,53.729069629629635,30.04693446009389,IFSC___Docklands_min
268054005,2992744414,33.28910051282051,31.77234962962963,53.581638095238105,55.039645555555566,51.81678809116809,30.297616296296294,30.297616296296294,Tallaght_min
267151010,8633054768,43.24069555555556,44.18824692810458,51.63881365079366,67.45554285403051,66.13014735042735,30.961111397849454,30.961111397849454,Tallaght_min
268010001,6935165762,9.707957894736841,16.221957894736843,44.45646031897926,36.798233333333336,30.411712061403513,55.138806985645935,9.707957894736841,Dublin_City_Centre_(CBD)_min
267118011,4365164490,68.11315213418162,64.88191794871794,99.28018901729853,69.3013312820513,90.89055171090122,103.65843128205132,64.88191794871794,IFSC___Docklands_min
267002034/267002002,5987046307,66.83978222222223,57.4060488888889,96.66563555555554,70.99212888888887,93.99175957671956,104.30530888888887,57.4060488888889,IFSC___Docklands_min
268056010,1410014086,33.903,32.353613333333335,55.92859809523811,55.62090925925927,52.3980517948718,30.87888,30.87888,Tallaght_min
267117001,2474110507,41.11899878787879,43.572345454545456,39.44445913043478,63.136055980392165,65.07050578037904,34.97017913043478,34.97017913043478,Tallaght_min
267040050,26453081,33.64679719298245,35.86819719298244,70.79445052631579,59.13549311890838,22.92238181818181,70.47039515151513,22.92238181818181,Blanchardstown_min
267108012,147049696,31.189010277777772,29.63962361111111,66.23452541005295,52.906919537037076,48.2967115471938,48.476177634408586,29.63962361111111,IFSC___Docklands_min
268009007,8962998751,12.301362949852507,16.53616727417683,48.18549628318583,39.80346320010276,41.35833688312462,58.034509616519166,12.301362949852507,Dublin_City_Centre_(CBD)_min
267084030,10731099954,56.930783703703696,59.38413037037037,47.259246666666655,74.9619043137255,67.28074793522265,27.254416140350884,27.254416140350884,Tallaght_min
267147030/02/267137004,440121566,41.484973333333336,39.93558666666667,60.15949333333334,57.80781764705884,52.59069179487179,21.621735384615384,21.621735384615384,Tallaght_min
267108014,848699019,24.642903611111105,23.093516944444442,59.688418743386265,46.360812870370395,41.75060488052712,47.174008771929834,23.093516944444442,IFSC___Docklands_min
267021011,11074268594,39.60207368421056,38.45742467520154,41.13710380952382,61.72472060112744,65.03712444444444,68.69725777777778,38.45742467520154,IFSC___Docklands_min
268001005,13904175207,12.643372075471698,18.662985408805024,49.90590540880503,39.47408888888889,30.80834917874396,58.11735353888633,12.643372075471698,Dublin_City_Centre_(CBD)_min
268139011,13398439558,7.826386666666665,15.8107323943662,46.70274285714285,39.07802832029212,28.88817777777778,57.16842285714286,7.826386666666665,Dublin_City_Centre_(CBD)_min
268142006,12832459903,16.82541523809524,19.71804622908622,35.3198223255814,42.98534215501214,43.67722857142856,42.5717111610487,16.82541523809524,Dublin_City_Centre_(CBD)_min
268056007,1410013956,31.79659272727273,30.247206060606064,53.0116865800866,53.51450198653199,50.29164452214452,28.772472727272728,28.772472727272728,Tallaght_min
267008006,248516915,47.06859997421017,50.802815238095256,31.90080848484849,63.16825098039219,65.10270078037907,37.73308666666666,31.90080848484849,Sandyford_Business_District_min
268128009,1260858711,23.26084903954802,21.447529039548023,35.32641971014492,44.71482496547393,46.945995706214674,46.32290850574712,21.447529039548023,IFSC___Docklands_min
268004014/268004015,972197996,22.192551351351348,22.012564684684676,58.2452954876044,45.279860610610626,32.94056666666667,56.20101333333336,22.012564684684676,IFSC___Docklands_min
268153006,2761359916,20.65003927927928,20.470052612612616,57.01297261261261,43.737348538538534,42.32082861788618,43.379761951219514,20.470052612612616,IFSC___Docklands_min
268094004,4904502719,39.68254666666667,40.63009803921568,50.128966580086576,63.89739396514161,65.66746953716066,36.809461818181816,36.809461818181816,Tallaght_min
268098010,4397272904,13.360042528735631,13.180055862068965,49.65540059523811,36.4473517879949,33.97219278688524,49.16299777777778,13.180055862068965,IFSC___Docklands_min
267138001/02,6750946890,47.917980317460305,46.368593650793635,63.38859862068965,65.52718170502985,54.87136544566543,26.236411954022987,26.236411954022987,Tallaght_min
267124005,5048491381,37.15123818181817,36.33791818181818,34.83547238095239,59.60521410774411,61.83638484848485,54.75239111111111,34.83547238095239,Sandyford_Business_District_min
268140008,13726263206,16.974282352941174,16.79429568627451,42.41199441860467,40.06159161220044,42.33743835205992,45.64045333333335,16.79429568627451,IFSC___Docklands_min
267100091,4836028867,32.19835793814432,30.648971271477656,67.24387307041948,53.916267197403606,33.060076399682785,47.691681403508795,30.648971271477656,IFSC___Docklands_min
268132007,585345784,30.122613333333334,31.070164705882355,47.40315844155844,54.33746063180829,56.628669195402296,39.443720000000006,30.122613333333334,Dublin_City_Centre_(CBD)_min
268131003,11817429121,22.9423511111111,29.553915890985312,27.467965714285707,52.82121181691127,51.51967224586291,46.691901890547264,22.9423511111111,Dublin_City_Centre_(CBD)_min
268154004,4381839613,32.15561222222222,30.606225555555557,58.10177894993895,53.873521481481475,50.650664017094,30.440850526315785,30.440850526315785,Tallaght_min
268071026/268071027/268071002/02/02,4072345666,40.24176345238096,41.372419205276714,71.4088003354978,58.90372431286549,63.01916302910051,81.64660376984128,40.24176345238096,Dublin_City_Centre_(CBD)_min
268066007,798843307,32.58857333333334,36.69330666666668,69.09447575757575,40.47814666666669,26.994326913580256,71.19784691358026,26.994326913580256,Blanchardstown_min
267030003,12755468407,29.637311111111096,33.74204444444443,66.78496444444443,49.912045,19.035004444444446,59.42365333333333,19.035004444444446,Blanchardstown_min
267050034,4870985831,35.092029629629636,33.542642962962965,60.845149629629645,56.809938888888915,45.193916980057004,33.01080804232804,33.01080804232804,Tallaght_min
268066002,3796280071,30.725313333333343,34.830046666666675,67.23121575757577,39.09440444444445,29.119191111111114,73.3227111111111,29.119191111111114,Blanchardstown_min
267132038/02,5825365405,37.19139228070176,33.138725614035096,73.26497894736845,29.224805614035095,59.25668561403509,63.58190561403509,29.224805614035095,Dublin_Airport_min
267100007,597694518,37.91668444444445,36.36729777777779,72.96219957671954,59.634593703703715,38.77840290598292,43.985404444444455,36.36729777777779,IFSC___Docklands_min
268160002/02,2519340959,21.425642758620693,27.965336091954025,55.9415051828631,33.121588017429204,42.53627703703703,57.128163703703684,21.425642758620693,Dublin_City_Centre_(CBD)_min
268022011,242733700,39.11970222222222,45.50106222222222,73.63556464646466,45.64267555555555,57.01902222222221,76.15966349881798,39.11970222222222,Dublin_City_Centre_(CBD)_min
267002039,10674387264,56.60920666666666,47.175473333333336,86.43506000000004,60.76155333333333,84.18908370370374,94.07473333333337,47.175473333333336,IFSC___Docklands_min
267007009,12327594091,57.820406727456934,59.561401904761915,41.11265523809523,69.53891764705881,71.47336744704566,44.10375333333332,41.11265523809523,Sandyford_Business_District_min
268036008,7995865944,20.441969166666663,21.59021641025641,57.58962250000001,44.85751233618235,26.05920137931035,57.0993019004525,20.441969166666663,Dublin_City_Centre_(CBD)_min
267097006,13945022967,39.826868045977015,39.013548045977025,35.55043724137931,62.28084397190295,64.51201471264368,68.350085444351,35.55043724137931,Sandyford_Business_District_min
267105014/02,1708092935,52.93759873015873,54.06825448305448,84.1046356132756,63.81933777777777,75.71499830687827,94.34243904761905,52.93759873015873,Dublin_City_Centre_(CBD)_min
