SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination,T15_1_NC,T15_1_TC,no_car_rate,ED_ID_STR,ED_ENGLISH,COUNTY_ENGLISH,ed_deprivation_score,ed_deprivation_category,need_percentile,access_percentile,quadrant,desert_severity_index
267140028,9481680718,51.49631384615387,49.94692717948721,58.50651384615387,73.21422310541313,60.39073623931623,21.35432717948719,21.35432717948719,Tallaght_min,26,85,0.3058823529411765,267140,TALLAGHT-JOBSTOWN,SOUTH DUBLIN,-8.15,Marginally Below Average,0.7773041006902152,0.8008526187576126,"Well-served, high-need",-0.02354851806739744
267042002/01,10888496721,47.48037097654119,53.50026333333333,36.80796615384615,74.99523098039214,76.05769211129294,39.33368615384616,36.80796615384615,Sandyford_Business_District_min,9,104,0.08653846153846154,267042,CHURCHTOWN-CASTLE,DUN LAOGHAIRE/RATHDOWN,8.97,Marginally Above Average,0.31871701177425904,0.2159967519285424,Low-priority gap,0.10272025984571664
268132016,4855284629,24.112840784313725,26.566187450980397,39.48261841269841,49.83348337690631,50.96465411764704,41.37248684210525,24.112840784313725,Dublin_City_Centre_(CBD)_min,75,99,0.7575757575757576,268132,RATHMINES WEST A,DUBLIN CITY,13.7,Affluent,0.9967519285424279,0.7064555420219245,"Well-served, high-need",0.2902963865205034
268138010,6157615911,11.16556782608696,17.85896,45.83512909090909,40.98138370370371,31.695387619047608,56.51747575757577,11.16556782608696,Dublin_City_Centre_(CBD)_min,42,118,0.3559322033898305,268138,ROTUNDA A,DUBLIN CITY,0.74,Marginally Above Average,0.8428745432399513,0.9693463256191637,"Well-served, high-need",-0.12647178237921242
268117015,8669561247,25.862142372881355,24.04882237288136,36.64681470588236,47.31611829880728,49.54728903954801,46.83122850574713,24.04882237288136,IFSC___Docklands_min,19,69,0.2753623188405797,268117,PEMBROKE WEST C,DUBLIN CITY,13.82,Affluent,0.7243199350385708,0.7095006090133983,"Well-served, high-need",0.014819326025172552
268047007,3009456722,23.38112796536796,24.51178371826371,54.54816484848485,45.01282560846563,46.15852754208755,64.78596828282829,23.38112796536796,Dublin_City_Centre_(CBD)_min,16,91,0.17582417582417584,268047,CLONTARF WEST B,DUBLIN CITY,-3.33,Marginally Below Average,0.5437474624441738,0.7344701583434836,"Well-served, high-need",-0.1907226958993098
268141003,11085983327,12.444180653594774,15.892280544217687,37.58970108527132,39.15957647014362,39.2959939869281,48.16958333333332,12.444180653594774,Dublin_City_Centre_(CBD)_min,31,88,0.3522727272727273,268141,ROYAL EXCHANGE B,DUBLIN CITY,-4.34,Marginally Below Average,0.8393219650832319,0.9567600487210719,"Well-served, high-need",-0.11743808363784003
268046003,3009426684,30.093045714285715,32.71759238095238,64.5482715151515,44.489111812865495,56.158634208754194,74.78607494949496,30.093045714285715,Dublin_City_Centre_(CBD)_min,8,126,0.06349206349206349,268046,CLONTARF WEST A,DUBLIN CITY,5.95,Marginally Above Average,0.23294762484774664,0.4646772228989038,Low-priority gap,-0.23172959805115714
268062010,3469266778,27.19740596273293,28.32806171562867,58.364442845849815,49.6013526101596,49.97480553945251,68.60224628019324,27.19740596273293,Dublin_City_Centre_(CBD)_min,17,79,0.21518987341772153,268062,EDENMORE,DUBLIN CITY,-11.79,Disadvantaged,0.6261672756800649,0.5862768980917581,"Well-served, high-need",0.039890377588306825
268106017,6592996726,7.196079999999999,14.74859906103286,46.12687193798448,38.015894986958784,34.37524333333334,57.66028952380953,7.196079999999999,Dublin_City_Centre_(CBD)_min,69,95,0.7263157894736842,268106,NORTH CITY,DUBLIN CITY,6.43,Marginally Above Average,0.9949248883475437,0.9928948436865611,"Well-served, high-need",0.002030044660982555
