table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ga,An Banc Ceannais,8250DB002836,
stops,stop_name,ga,An Barr Dubh,8390B2501101,
stops,stop_name,ga,An Barr Dubh,8390B255681,
stops,stop_name,ga,An Bealach,8340WB11671,
stops,stop_name,ga,An Bealach Beag,8240DB003340,
stops,stop_name,ga,An Bealach Beag,8240DB004325,
stops,stop_name,ga,An Bealach Buí,8360B336431,
stops,stop_name,ga,An Bealach Buí,8360B336451,
stops,stop_name,ga,An Bealach Buí,8400B6085101,
stops,stop_name,ga,An Bealach Buí,8400B6085901,
stops,stop_name,ga,An Bháinseach,8430B331861,
stops,stop_name,ga,An Bháinseach,8430B631201,
stops,stop_name,ga,An Bhánóg,8410B0333001,
stops,stop_name,ga,An Bhánóg,8410B0333011,
stops,stop_name,ga,An Bhealaigh Bhig,8240DB004324,
stops,stop_name,ga,An Bheannach,8390B331711,
stops,stop_name,ga,An Bheannach,8390B6366401,
stops,stop_name,ga,An Bhearna,8380B215851,
stops,stop_name,ga,An Bhearna,8380B2537001,
stops,stop_name,ga,An Bhearna,841000229,
stops,stop_name,ga,An Bheart,853000048,
stops,stop_name,ga,An Bheart,8530PB000354,
stops,stop_name,ga,An Bheitheach,847000280,
stops,stop_name,ga,An Bheitheach,8470PB14707,
stops,stop_name,ga,An Bheitheach,8520LL14237,
stops,stop_name,ga,An Bheitheach,8520LL14238,
stops,stop_name,ga,An Bheithigh,849000017,
stops,stop_name,ga,An Bheithigh,8490PB14623,
stops,stop_name,ga,An Bhlarna,8380B213311,
stops,stop_name,ga,An Bhlarna,8380B213501,
stops,stop_name,ga,An Bhlarna Thoir,8380B2133001,
stops,stop_name,ga,An Bhlarna Thoir,8380B2135101,
stops,stop_name,ga,An Bhó Dhearg,8230GA00353,
stops,stop_name,ga,An Bhó Dhearg,8230GA00354,
stops,stop_name,ga,An Bhuaile Dhubh,8420LL11870,
stops,stop_name,ga,An Bhuaile Dhubh,843000017,
stops,stop_name,ga,An Bhuirg,8380B2421201,
stops,stop_name,ga,An Bhuirg,8380B246001,
stops,stop_name,ga,An Bhuirgéis,8380B2313401,
stops,stop_name,ga,An Bhuirgéis,8380B244701,
stops,stop_name,ga,An Bhuirgéiseach,8380B215421,
stops,stop_name,ga,An Bhuirgéiseach,8380B2538001,
stops,stop_name,ga,An Bhuiríos,8210LL10445,
stops,stop_name,ga,An Bhuiríos,8210PB000012,
stops,stop_name,ga,An Bhuiríos,8350DB007252,
stops,stop_name,ga,An Bhuiríos,8350DB007253,
stops,stop_name,ga,An Bhuiríos Bheag,8280B160091,
stops,stop_name,ga,An Bhuiríos Bheag,8280B160371,
stops,stop_name,ga,An Bhuiríos Mhór,8280B160071,
stops,stop_name,ga,An Bhuiríos Mhór,8280B160391,
stops,stop_name,ga,An Blaic,8520B6310101,
stops,stop_name,ga,An Blaic,8520B631091,
stops,stop_name,ga,An Bóithrín,8340B3004201,
stops,stop_name,ga,An Bóithrín,8340B3004202,
stops,stop_name,ga,An Bóithrín,8340B330481,
stops,stop_name,ga,An Bóthar Ard,8400B6073401,
stops,stop_name,ga,An Bóthar Ard,8400B6074101,
stops,stop_name,ga,An Bóthar Buí,8220DB000216,
stops,stop_name,ga,An Bóthar Buí,8220DB000236,
stops,stop_name,ga,An Bóthar Buí,8310B103381,
stops,stop_name,ga,An Bóthar Buí,8310B1332301,
stops,stop_name,ga,An Bóthar Buí,8390LL10657,
stops,stop_name,ga,An Bóthar Buí Íocht,8440B352431,
